epoch:1, psnr:15.706714316663232, time:369.6244547367096secondes.
epoch:2, psnr:15.958602339511192, time:354.7857825756073secondes.
epoch:3, psnr:16.146882087364347, time:357.6079454421997secondes.
epoch:4, psnr:16.382314868812358, time:355.86793971061707secondes.
epoch:5, psnr:16.32129609937466, time:351.89521884918213secondes.
epoch:6, psnr:16.468574480611732, time:347.2035644054413secondes.
epoch:7, psnr:16.336681262260903, time:362.4622437953949secondes.
epoch:8, psnr:16.361399471477114, time:376.1633412837982secondes.
epoch:9, psnr:16.357741611920687, time:374.77216386795044secondes.
epoch:10, psnr:16.59305128425701, time:374.1529965400696secondes.
epoch:11, psnr:16.882063821792975, time:378.7484381198883secondes.
epoch:12, psnr:16.727239424100894, time:378.6700155735016secondes.
epoch:13, psnr:16.53317490349335, time:360.00606632232666secondes.
epoch:14, psnr:16.568563322890185, time:357.2317850589752secondes.
epoch:15, psnr:17.192849737452562, time:358.26897263526917secondes.
epoch:16, psnr:17.156437012400932, time:355.8513662815094secondes.
epoch:17, psnr:17.131334990906822, time:356.16408371925354secondes.
epoch:18, psnr:17.012881780975132, time:362.5539484024048secondes.
epoch:19, psnr:16.441816396874117, time:375.8532819747925secondes.
epoch:20, psnr:17.0355130227111, time:373.8549017906189secondes.
epoch:21, psnr:17.0112645277153, time:374.576758146286secondes.
epoch:22, psnr:17.097585964985043, time:375.7995569705963secondes.
epoch:23, psnr:17.324507956614994, time:375.71343088150024secondes.
epoch:24, psnr:17.375312669497482, time:365.8743302822113secondes.
epoch:25, psnr:17.521142919374853, time:360.74775981903076secondes.
epoch:26, psnr:17.189547573566674, time:356.2208592891693secondes.
epoch:27, psnr:17.20677937728446, time:357.17165875434875secondes.
epoch:28, psnr:17.186806524538518, time:356.4430332183838secondes.
epoch:29, psnr:17.331251698687172, time:357.18969106674194secondes.
epoch:30, psnr:17.302273303345295, time:371.20339727401733secondes.
epoch:31, psnr:17.536632670944556, time:372.95308351516724secondes.
epoch:32, psnr:17.280136853375357, time:373.72244238853455secondes.
epoch:33, psnr:17.530840764342123, time:372.3513431549072secondes.
epoch:34, psnr:17.650977049382725, time:373.61193227767944secondes.
epoch:35, psnr:17.495020549801538, time:386.3324227333069secondes.
epoch:36, psnr:17.42260030904673, time:385.04676580429077secondes.
epoch:37, psnr:17.158975904754477, time:389.0950677394867secondes.
epoch:38, psnr:17.309784489023812, time:374.063836812973secondes.
epoch:39, psnr:17.568116816646167, time:357.9100618362427secondes.
epoch:40, psnr:17.33913193827233, time:357.9977993965149secondes.
epoch:41, psnr:17.742691475160992, time:382.2941966056824secondes.
epoch:42, psnr:17.59060991255079, time:377.6890354156494secondes.
epoch:43, psnr:17.374236575077006, time:376.42103362083435secondes.
epoch:44, psnr:17.417029053258197, time:374.7041325569153secondes.
epoch:45, psnr:17.87034151370566, time:379.05309653282166secondes.
epoch:46, psnr:17.314714812395547, time:359.13187980651855secondes.
epoch:47, psnr:17.646460070983515, time:351.64731454849243secondes.
epoch:48, psnr:17.75278507537634, time:355.8176908493042secondes.
epoch:49, psnr:17.752535014331574, time:354.37110710144043secondes.
epoch:50, psnr:17.661388563539013, time:373.30255460739136secondes.
epoch:51, psnr:17.961678035275337, time:360.8936855792999secondes.
epoch:52, psnr:18.03210230459355, time:433.8111207485199secondes.
epoch:53, psnr:18.07546779691312, time:407.1894347667694secondes.
epoch:54, psnr:17.81735744603011, time:420.8124141693115secondes.
epoch:55, psnr:17.844309001263404, time:359.14290380477905secondes.
epoch:56, psnr:17.90590946851501, time:359.99507999420166secondes.
epoch:57, psnr:17.46767549857345, time:365.4161059856415secondes.
epoch:58, psnr:18.07149367613366, time:367.7259590625763secondes.
epoch:59, psnr:18.28976506107012, time:370.65191316604614secondes.
epoch:60, psnr:17.916890665752593, time:369.78352093696594secondes.
epoch:61, psnr:18.036981954144537, time:359.48488450050354secondes.
epoch:62, psnr:18.115372535865543, time:351.63445234298706secondes.
epoch:63, psnr:18.09480706175733, time:353.825546503067secondes.
epoch:64, psnr:18.18396155555985, time:352.8414080142975secondes.
epoch:65, psnr:17.962499243655213, time:351.8430359363556secondes.
epoch:66, psnr:17.836799500747286, time:350.98313784599304secondes.
epoch:67, psnr:18.213630736072002, time:360.89287066459656secondes.
epoch:68, psnr:18.1278736078569, time:365.9319202899933secondes.
epoch:69, psnr:18.1160252424151, time:365.30945587158203secondes.
epoch:70, psnr:18.080377049619354, time:365.15308451652527secondes.
epoch:71, psnr:18.305996681824627, time:357.4952507019043secondes.
epoch:72, psnr:18.10438904871852, time:352.1952509880066secondes.
epoch:73, psnr:18.191728635439894, time:351.9908699989319secondes.
epoch:74, psnr:18.12567868541742, time:352.20071744918823secondes.
epoch:75, psnr:18.016387312160617, time:352.2490816116333secondes.
epoch:76, psnr:18.124627508918675, time:352.04559898376465secondes.
epoch:77, psnr:18.461550491548106, time:361.7324287891388secondes.
epoch:78, psnr:18.55179674175835, time:364.66042852401733secondes.
epoch:79, psnr:18.461279889314227, time:363.04637479782104secondes.
epoch:80, psnr:18.643488708498623, time:363.72623801231384secondes.
epoch:81, psnr:18.245637560558862, time:359.72018790245056secondes.
epoch:82, psnr:18.82614412892056, time:352.0092978477478secondes.
epoch:83, psnr:18.52024217687533, time:354.070764541626secondes.
epoch:84, psnr:18.609707217884154, time:352.00828409194946secondes.
epoch:85, psnr:19.1407606172302, time:352.0175578594208secondes.
epoch:86, psnr:18.878057736968305, time:351.61170196533203secondes.
epoch:87, psnr:18.762140266270162, time:359.4039616584778secondes.
epoch:88, psnr:18.892553956462486, time:365.86103892326355secondes.
epoch:89, psnr:19.040311685425447, time:361.9904568195343secondes.
epoch:90, psnr:18.94201207546387, time:363.4693269729614secondes.
epoch:91, psnr:19.465703373392703, time:369.7803382873535secondes.
epoch:92, psnr:19.313820955346227, time:355.6101539134979secondes.
epoch:93, psnr:19.51930417222076, time:355.6511216163635secondes.
epoch:94, psnr:19.49139827881845, time:356.92618465423584secondes.
epoch:95, psnr:19.760278352995407, time:353.57489228248596secondes.
epoch:96, psnr:19.941645792627842, time:354.2169291973114secondes.
epoch:97, psnr:19.945139729909137, time:361.6977446079254secondes.
epoch:98, psnr:19.557436532387694, time:365.17932391166687secondes.
epoch:99, psnr:19.410568458069715, time:364.3945503234863secondes.
epoch:100, psnr:19.89059471237074, time:361.85831356048584secondes.
epoch:101, psnr:19.953090676125438, time:363.76945662498474secondes.
epoch:102, psnr:18.97081635253113, time:353.61734533309937secondes.
epoch:103, psnr:19.87706326694229, time:355.162748336792secondes.
epoch:104, psnr:20.358959466284354, time:353.11135840415955secondes.
epoch:105, psnr:20.506074351823298, time:353.57420229911804secondes.
epoch:106, psnr:20.504223994401254, time:352.97330617904663secondes.
epoch:107, psnr:20.773841299876977, time:358.74698853492737secondes.
epoch:108, psnr:20.773355136243858, time:357.3545217514038secondes.
epoch:109, psnr:20.824368631186225, time:351.90456080436707secondes.
epoch:110, psnr:20.822571024905997, time:378.8094415664673secondes.
epoch:111, psnr:21.072202144084244, time:351.9319357872009secondes.
epoch:112, psnr:21.04511821811975, time:344.5041253566742secondes.
epoch:113, psnr:21.205971317097568, time:341.38115191459656secondes.
epoch:114, psnr:21.252823121951284, time:342.544264793396secondes.
epoch:115, psnr:21.587545100467295, time:342.74609565734863secondes.
epoch:116, psnr:21.488019004982178, time:342.9420690536499secondes.
epoch:117, psnr:21.522116480393763, time:344.87266397476196secondes.
epoch:118, psnr:21.594929589018438, time:349.6453061103821secondes.
epoch:119, psnr:21.737630076557, time:348.535352230072secondes.
epoch:120, psnr:21.713881697245185, time:349.80292534828186secondes.
epoch:121, psnr:21.713529207676412, time:350.2632122039795secondes.
epoch:122, psnr:21.832834068103676, time:343.39030361175537secondes.
epoch:123, psnr:21.794811977499535, time:341.0118591785431secondes.
epoch:124, psnr:21.957691198719147, time:342.6955235004425secondes.
epoch:125, psnr:21.966871600051185, time:343.32680773735046secondes.
epoch:126, psnr:21.94824243073508, time:345.9457907676697secondes.
epoch:127, psnr:21.95343147311814, time:342.6262135505676secondes.
epoch:128, psnr:21.827127903368392, time:365.8817000389099secondes.
epoch:129, psnr:22.22515408650496, time:416.4970762729645secondes.
epoch:130, psnr:22.274278694657237, time:351.74347949028015secondes.
epoch:131, psnr:22.312886593490262, time:359.70561504364014secondes.epoch:132, psnr:22.322342090968252, time:360.67579531669617secondes.
epoch:133, psnr:22.392427651548886, time:360.71367835998535secondes.
epoch:134, psnr:22.208823161965256, time:363.84173011779785secondes.
epoch:135, psnr:22.369740441527174, time:378.1904911994934secondes.
epoch:136, psnr:22.41133379823263, time:377.2131209373474secondes.
epoch:137, psnr:22.62764739326542, time:376.95364451408386secondes.
epoch:138, psnr:22.450406003753937, time:375.90612030029297secondes.
epoch:139, psnr:22.56547841524059, time:378.3564016819secondes.
epoch:140, psnr:22.445777611991936, time:367.1251759529114secondes.
epoch:141, psnr:22.543351795801343, time:376.6080729961395secondes.
epoch:142, psnr:22.49538593332952, time:346.86000299453735secondes.
epoch:143, psnr:22.705678549530745, time:344.0693452358246secondes.
epoch:144, psnr:22.77356704595908, time:348.3287763595581secondes.
epoch:145, psnr:22.664237578171875, time:365.71835350990295secondes.
epoch:146, psnr:22.656002395909518, time:363.2758939266205secondes.
epoch:147, psnr:22.77871795707473, time:365.4582049846649secondes.
epoch:148, psnr:22.645048424616128, time:364.0574550628662secondes.
epoch:149, psnr:22.85286605654353, time:362.9058680534363secondes.
epoch:150, psnr:22.802958746867052, time:357.26351618766785secondes.
epoch:151, psnr:22.882325038092027, time:350.1893539428711secondes.
epoch:152, psnr:22.92688163099305, time:351.10110807418823secondes.
epoch:153, psnr:22.918381709441068, time:353.5178904533386secondes.
epoch:154, psnr:22.818010903816813, time:351.61732840538025secondes.
epoch:155, psnr:22.831461495352862, time:363.46589970588684secondes.
epoch:156, psnr:22.989821197107393, time:361.8246760368347secondes.
epoch:157, psnr:22.965233923156898, time:363.03075075149536secondes.
epoch:158, psnr:22.92506157870679, time:363.11668062210083secondes.
epoch:159, psnr:22.976340929798912, time:364.092981338501secondes.
epoch:160, psnr:23.19494149217825, time:357.43808794021606secondes.
epoch:161, psnr:23.19722837158948, time:352.8843626976013secondes.
epoch:162, psnr:23.241916849386175, time:350.1575207710266secondes.
epoch:163, psnr:23.09684116403921, time:351.5140392780304secondes.
epoch:164, psnr:23.296473616369195, time:349.61537408828735secondes.
epoch:165, psnr:23.1228214198382, time:359.49502992630005secondes.
epoch:166, psnr:23.10255311295808, time:363.62062406539917secondes.
epoch:167, psnr:23.23658451512116, time:363.3131856918335secondes.
epoch:168, psnr:23.14649622023008, time:363.1248495578766secondes.
epoch:169, psnr:23.175764716879186, time:359.49293065071106secondes.
epoch:170, psnr:23.221256922990175, time:357.90337204933167secondes.
epoch:171, psnr:23.21914455806238, time:353.29961371421814secondes.
epoch:172, psnr:23.30523717399047, time:344.30870056152344secondes.
epoch:173, psnr:23.459347241441098, time:344.62966775894165secondes.
epoch:174, psnr:23.33774272588005, time:342.46300888061523secondes.
epoch:175, psnr:23.308793117710128, time:347.931369304657secondes.
epoch:176, psnr:23.22902674647411, time:354.55531573295593secondes.
epoch:177, psnr:23.38108933092785, time:350.774032831192secondes.
epoch:178, psnr:23.412436371540956, time:350.5285232067108secondes.
epoch:179, psnr:23.5642428756648, time:348.25785779953003secondes.
epoch:180, psnr:23.461961241868252, time:355.3136794567108secondes.
epoch:181, psnr:23.494432306802025, time:369.8667221069336secondes.
epoch:182, psnr:23.31655372806516, time:361.7538559436798secondes.
epoch:183, psnr:23.36262047570081, time:408.1103127002716secondes.
epoch:184, psnr:23.507370486853315, time:383.86894845962524secondes.
epoch:185, psnr:23.588102457522172, time:420.747731924057secondes.
epoch:186, psnr:23.70465024615221, time:422.6660096645355secondes.
epoch:187, psnr:23.758407924587228, time:431.1046130657196secondes.
epoch:188, psnr:23.763882508308477, time:400.51628494262695secondes.
epoch:189, psnr:23.571449603273535, time:391.1079955101013secondes.
epoch:190, psnr:23.732344268977688, time:388.61598110198975secondes.
epoch:191, psnr:23.761651250023842, time:358.17531967163086secondes.
epoch:192, psnr:23.615169290387314, time:361.3725414276123secondes.
epoch:193, psnr:23.733302645518712, time:344.17279958724976secondes.
epoch:194, psnr:23.635370630762477, time:342.16300868988037secondes.
epoch:195, psnr:23.806012637462533, time:348.53632950782776secondes.
epoch:196, psnr:23.87703345198936, time:353.071804523468secondes.
epoch:197, psnr:23.822927500588737, time:353.4698693752289secondes.
epoch:198, psnr:23.74290939504381, time:353.6950008869171secondes.
epoch:199, psnr:23.793791694717502, time:353.41543078422546secondes.
epoch:200, psnr:23.92044916764133, time:354.4483640193939secondes.
epoch:201, psnr:23.935292320517515, time:341.3184380531311secondes.
epoch:202, psnr:23.84805760528483, time:342.2796127796173secondes.
epoch:203, psnr:23.862052721258976, time:342.3792521953583secondes.
epoch:204, psnr:23.81868997758124, time:342.0255513191223secondes.
epoch:205, psnr:23.9156178230305, time:345.0305299758911secondes.
epoch:206, psnr:24.007358309208506, time:353.9446437358856secondes.
epoch:207, psnr:23.865182517365444, time:352.5471577644348secondes.
epoch:208, psnr:23.7640313324906, time:351.5551047325134secondes.
epoch:209, psnr:23.891694093355618, time:356.36137437820435secondes.
epoch:210, psnr:23.93322286795714, time:354.1440980434418secondes.
epoch:211, psnr:23.889043117730903, time:341.8064823150635secondes.
epoch:212, psnr:23.817429902310373, time:342.3335690498352secondes.
epoch:213, psnr:23.85900005201502, time:341.6209759712219secondes.
epoch:214, psnr:23.871678329117604, time:341.9141881465912secondes.
epoch:215, psnr:23.958189447191987, time:342.9181549549103secondes.
epoch:211, psnr:23.501359304143406, time:385.1354308128357secondes.
epoch:212, psnr:23.53552218968879, time:385.27368450164795secondes.
epoch:213, psnr:23.59252581391356, time:361.46863889694214secondes.
epoch:214, psnr:23.526222875418355, time:357.04181361198425secondes.
epoch:215, psnr:23.451228456168536, time:354.03304958343506secondes.
epoch:216, psnr:23.39520036363485, time:353.5003356933594secondes.
epoch:217, psnr:23.611717217744022, time:352.581494808197secondes.
epoch:218, psnr:23.724241449389595, time:347.5088665485382secondes.
epoch:219, psnr:23.60868709584429, time:355.03120851516724secondes.
epoch:220, psnr:23.61234796540485, time:330.1299545764923secondes.
epoch:221, psnr:23.707547142767346, time:331.88761019706726secondes.
epoch:222, psnr:23.764477048750084, time:330.7666528224945secondes.
epoch:223, psnr:23.70416924690359, time:337.0331938266754secondes.
epoch:224, psnr:23.7360406793001, time:357.45291447639465secondes.
epoch:225, psnr:23.658480260334343, time:399.0416958332062secondes.
epoch:226, psnr:23.895233228509625, time:401.46136116981506secondes.
epoch:227, psnr:23.742213306226994, time:405.2167010307312secondes.
epoch:228, psnr:23.645141146225956, time:404.1104688644409secondes.
epoch:229, psnr:23.796136169703676, time:390.16918563842773secondes.
epoch:230, psnr:23.916896298691046, time:381.27119302749634secondes.
epoch:231, psnr:23.864585085602005, time:342.37503147125244secondes.
epoch:232, psnr:23.914008031174454, time:342.6902012825012secondes.
epoch:233, psnr:23.887938185056555, time:346.59295630455017secondes.
epoch:234, psnr:23.88996151526997, time:354.7579200267792secondes.
epoch:235, psnr:23.975264130809308, time:355.7788689136505secondes.
epoch:236, psnr:23.817229009746345, time:352.6863510608673secondes.
epoch:237, psnr:23.865990141975526, time:355.2227647304535secondes.
epoch:238, psnr:23.960764800401012, time:429.6140263080597secondes.
epoch:239, psnr:23.85958207502056, time:415.37628960609436secondes.
epoch:240, psnr:23.896924017650058, time:384.5206468105316secondes.
epoch:241, psnr:24.004364493880537, time:368.66963171958923secondes.
epoch:242, psnr:24.05237226161703, time:349.52031993865967secondes.
epoch:243, psnr:24.092620099804055, time:350.0799677371979secondes.
epoch:244, psnr:23.892376338676442, time:359.9920265674591secondes.
epoch:245, psnr:24.06990997399926, time:403.9313659667969secondes.
epoch:246, psnr:24.11722133243493, time:357.7444748878479secondes.
epoch:247, psnr:24.015056049147613, time:354.0476610660553secondes.
epoch:248, psnr:23.996768691845496, time:385.76648235321045secondes.
epoch:249, psnr:24.098206932134303, time:350.315584897995secondes.
epoch:250, psnr:24.028192548671004, time:343.6079225540161secondes.
