Date: 2020-11-20 19:10:02s, Time_Cost: 0s, Epoch: [1/0], Train_PSNR: 16.69, Val_PSNR: 0.00, Val_SSIM: 0.0000
Date: 2020-11-20 19:19:33s, Time_Cost: 0s, Epoch: [2/0], Train_PSNR: 19.49, Val_PSNR: 0.00, Val_SSIM: 0.0000
Date: 2020-11-20 19:24:30s, Time_Cost: 0s, Epoch: [3/0], Train_PSNR: 20.09, Val_PSNR: 0.00, Val_SSIM: 0.0000
Date: 2020-11-20 19:29:28s, Time_Cost: 0s, Epoch: [4/0], Train_PSNR: 20.19, Val_PSNR: 0.00, Val_SSIM: 0.0000
Date: 2020-11-20 19:34:25s, Time_Cost: 0s, Epoch: [5/0], Train_PSNR: 20.44, Val_PSNR: 0.00, Val_SSIM: 0.0000
Date: 2020-11-20 19:39:22s, Time_Cost: 0s, Epoch: [6/0], Train_PSNR: 20.72, Val_PSNR: 0.00, Val_SSIM: 0.0000
Date: 2020-11-20 19:48:54s, Time_Cost: 0s, Epoch: [7/0], Train_PSNR: 20.58, Val_PSNR: 0.00, Val_SSIM: 0.0000
Date: 2020-11-20 19:53:52s, Time_Cost: 0s, Epoch: [8/0], Train_PSNR: 20.75, Val_PSNR: 0.00, Val_SSIM: 0.0000
Date: 2020-11-20 19:58:48s, Time_Cost: 0s, Epoch: [9/0], Train_PSNR: 21.07, Val_PSNR: 0.00, Val_SSIM: 0.0000
Date: 2020-11-20 20:03:44s, Time_Cost: 0s, Epoch: [10/0], Train_PSNR: 21.04, Val_PSNR: 0.00, Val_SSIM: 0.0000
Date: 2020-11-20 20:08:39s, Time_Cost: 0s, Epoch: [11/0], Train_PSNR: 21.10, Val_PSNR: 0.00, Val_SSIM: 0.0000
Date: 2020-11-20 20:18:12s, Time_Cost: 0s, Epoch: [12/0], Train_PSNR: 20.84, Val_PSNR: 0.00, Val_SSIM: 0.0000
Date: 2020-11-20 20:23:12s, Time_Cost: 0s, Epoch: [13/0], Train_PSNR: 20.95, Val_PSNR: 0.00, Val_SSIM: 0.0000
Date: 2020-11-20 20:28:09s, Time_Cost: 0s, Epoch: [14/0], Train_PSNR: 21.34, Val_PSNR: 0.00, Val_SSIM: 0.0000
Date: 2020-11-20 20:33:07s, Time_Cost: 0s, Epoch: [15/0], Train_PSNR: 21.36, Val_PSNR: 0.00, Val_SSIM: 0.0000
Date: 2020-11-20 20:38:04s, Time_Cost: 0s, Epoch: [16/0], Train_PSNR: 21.23, Val_PSNR: 0.00, Val_SSIM: 0.0000
Date: 2020-11-20 20:47:35s, Time_Cost: 0s, Epoch: [17/0], Train_PSNR: 21.56, Val_PSNR: 0.00, Val_SSIM: 0.0000
Date: 2020-11-20 20:52:32s, Time_Cost: 0s, Epoch: [18/0], Train_PSNR: 21.58, Val_PSNR: 0.00, Val_SSIM: 0.0000
Date: 2020-11-20 20:57:28s, Time_Cost: 0s, Epoch: [19/0], Train_PSNR: 21.62, Val_PSNR: 0.00, Val_SSIM: 0.0000
Date: 2020-11-20 21:02:24s, Time_Cost: 0s, Epoch: [20/0], Train_PSNR: 21.77, Val_PSNR: 0.00, Val_SSIM: 0.0000
Date: 2020-11-20 21:07:20s, Time_Cost: 0s, Epoch: [21/0], Train_PSNR: 21.48, Val_PSNR: 0.00, Val_SSIM: 0.0000
Date: 2020-11-20 21:16:51s, Time_Cost: 0s, Epoch: [22/0], Train_PSNR: 21.74, Val_PSNR: 0.00, Val_SSIM: 0.0000
Date: 2020-11-20 21:21:46s, Time_Cost: 0s, Epoch: [23/0], Train_PSNR: 22.02, Val_PSNR: 0.00, Val_SSIM: 0.0000
Date: 2020-11-20 21:26:41s, Time_Cost: 0s, Epoch: [24/0], Train_PSNR: 21.80, Val_PSNR: 0.00, Val_SSIM: 0.0000
Date: 2020-11-20 21:31:38s, Time_Cost: 0s, Epoch: [25/0], Train_PSNR: 21.81, Val_PSNR: 0.00, Val_SSIM: 0.0000
Date: 2020-11-20 21:36:35s, Time_Cost: 0s, Epoch: [26/0], Train_PSNR: 22.07, Val_PSNR: 0.00, Val_SSIM: 0.0000
Date: 2020-11-20 21:46:06s, Time_Cost: 0s, Epoch: [27/0], Train_PSNR: 22.14, Val_PSNR: 0.00, Val_SSIM: 0.0000
Date: 2020-11-20 21:51:03s, Time_Cost: 0s, Epoch: [28/0], Train_PSNR: 22.28, Val_PSNR: 0.00, Val_SSIM: 0.0000
Date: 2020-11-20 21:56:00s, Time_Cost: 0s, Epoch: [29/0], Train_PSNR: 22.01, Val_PSNR: 0.00, Val_SSIM: 0.0000
